UNIT_id,pick_count,delivery_c,count_work,count_live,count_shop,count_play,count_elem,pop_home,pop_work,lon,lat
18814,0.0,6.0,-0.5398042431058722,-0.596459886975884,-0.585996813376294,-0.5308587034762445,-0.4707421201058256,-0.7923276618357616,-0.7923276618357616,-0.45592503101419035,1.7671070120780379
18815,0.0,14.0,-0.5677014380182307,-0.596459886975884,-0.4358241060835055,-0.6527215355134798,-0.4707421201058256,-0.23547950924362088,-0.23547950924362088,-0.38993060779400474,1.7671070120780379
18816,0.0,65.0,0.2692144093525243,-0.3691512216101052,-0.17302186832112582,-0.5308587034762445,-0.09769365063351364,0.15738293595485273,0.15738293595485273,-0.3239361845738191,1.7671070120780379
18817,9.0,11.0,0.5202891635637508,-0.596459886975884,-0.4358241060835055,-0.5308587034762445,-0.4707421201058256,-0.2853465079832156,-0.2853465079832156,-0.25794176135363356,1.7671070120780379
18818,0.0,5.0,-0.5398042431058722,-0.5509981539027283,-0.5672252249646954,-0.6527215355134798,-0.4707421201058256,-0.5487465526077414,-0.5487465526077414,-0.19194733813344794,1.7671070120780379
18819,8.0,11.0,-0.5119070481935137,-0.6419216200490399,-0.4921388713183012,-0.6527215355134798,-0.4707421201058256,0.025363253394259083,0.025363253394259083,-0.12595291491326235,1.7671070120780379
18820,0.0,25.0,-0.4840098532811552,-0.596459886975884,-0.4921388713183012,-0.6527215355134798,-0.4707421201058256,-0.6328171979187248,-0.6328171979187248,-0.05995849169307676,1.7671070120780379
18821,0.0,12.0,-0.5398042431058722,-0.6419216200490399,-0.5672252249646954,0.8096324489333425,-0.4707421201058256,-0.9713374009009734,-0.9713374009009734,0.006035931527108838,1.7671070120780379
18822,0.0,0.0,-0.5677014380182307,-0.6419216200490399,-0.585996813376294,0.32218112078440175,-0.4707421201058256,-1.0742680008634702,-1.0742680008634702,0.07203035474729444,1.7671070120780379
18823,0.0,0.0,-0.5677014380182307,-0.6419216200490399,-0.585996813376294,-0.2871330394017742,-0.4707421201058256,-1.0944065965083065,-1.0944065965083065,0.13802477796748003,1.7671070120780379
18824,0.0,0.0,-0.5677014380182307,-0.6419216200490399,-0.585996813376294,-0.0434073753273038,-0.4707421201058256,-1.092488635018322,-1.092488635018322,0.20401920118766562,1.7671070120780379
18825,0.0,0.0,-0.5398042431058722,-0.6419216200490399,-0.585996813376294,-0.16527020736453898,-0.4707421201058256,-1.0803415455817542,-1.0803415455817542,0.2700136244078512,1.7671070120780379
18826,0.0,1.0,-0.4561126583687967,-0.6419216200490399,-0.585996813376294,-0.6527215355134798,-0.4707421201058256,-1.0164094959156071,-1.0164094959156071,0.3360080476280368,1.7671070120780379
18827,0.0,6.0,-0.5398042431058722,-0.596459886975884,-0.5484536365530969,-0.5308587034762445,-0.4707421201058256,-0.8466699040519866,-0.8466699040519866,0.4020024708482224,1.7671070120780379
