src_id,dst_id,weight
8116,8940,1.0
8116,8941,2.0
8116,9143,1.0
7495,8116,1.0
7498,8116,1.0
7499,8116,1.0
7704,8116,1.0
7704,8734,1.0
7909,8116,1.0
7909,8941,1.0
7910,8116,7.0
7910,8322,2.0
7910,8734,1.0
7910,8937,1.0
7910,8940,1.0
7910,8941,4.0
7911,8116,3.0
7911,8322,1.0
7911,8941,1.0
7912,8116,3.0
7912,8322,1.0
8113,8116,3.0
8113,8941,2.0
8113,9143,1.0
8114,8116,1.0
8115,8116,1.0
8115,8322,1.0
8115,8734,1.0
8115,8940,1.0
8117,8116,13.0
8117,8322,5.0
8117,8528,1.0
8117,8734,3.0
8117,8940,1.0
8117,8941,3.0
8117,9150,1.0
8322,8116,4.0
8322,8734,1.0
8322,8937,1.0
8322,9143,1.0
8322,9560,1.0
8322,9767,1.0
8323,8116,4.0
8323,8734,1.0
8323,8941,1.0
8323,9143,1.0
8323,9358,1.0
8324,8116,1.0
8324,8937,1.0
8324,8940,1.0
8324,8941,2.0
8324,8943,1.0
8324,8947,2.0
8525,8116,5.0
8525,8322,3.0
8525,8734,1.0
8525,8940,1.0
8525,9143,1.0
8525,9349,1.0
8526,8116,3.0
8526,8322,3.0
8527,8116,6.0
8527,8322,2.0
8527,8734,1.0
8527,8940,1.0
8527,8941,1.0
8528,8116,8.0
8528,8322,5.0
8528,8734,2.0
8528,8940,5.0
8528,8941,4.0
8528,9143,2.0
8529,8116,8.0
8529,8322,4.0
8529,8734,7.0
8529,8940,6.0
8529,8941,2.0
8529,8945,1.0
8529,8947,3.0
8529,9143,1.0
8529,9357,1.0
8529,9765,1.0
8530,8116,3.0
8530,9143,1.0
8534,8116,1.0
8534,8940,1.0
8534,8943,2.0
8534,8944,4.0
8534,8945,1.0
8534,8946,1.0
8534,8947,4.0
8534,9155,2.0
8534,9357,1.0
8534,9358,1.0
8534,10184,2.0
8734,8116,11.0
8734,8322,7.0
8734,8734,13.0
8734,8937,1.0
8734,8940,6.0
8734,8941,7.0
8734,8947,2.0
8734,9143,2.0
8734,9349,6.0
