src_id,dst_id,weight
8940,8945,1.0
8940,8946,1.0
8940,9142,1.0
8940,9143,1.0
8940,9145,3.0
8940,9146,9.0
8940,9147,4.0
8940,9149,3.0
8940,9150,1.0
8940,9152,2.0
8940,9348,2.0
8940,9349,2.0
8940,9350,7.0
8940,9554,1.0
8940,9555,2.0
8940,9556,1.0
8940,9557,1.0
8940,9558,2.0
8940,9559,1.0
8940,9560,1.0
8940,9561,1.0
8940,9563,1.0
8940,9762,3.0
8941,7909,1.0
8941,7910,4.0
8941,7911,1.0
8941,8113,2.0
8941,8116,2.0
8941,8117,3.0
8941,8323,1.0
8941,8324,2.0
8941,8527,1.0
8941,8528,4.0
8941,8529,2.0
8941,8533,1.0
8941,8734,7.0
8941,8735,4.0
8941,8736,1.0
8941,8936,1.0
8941,8937,1.0
8941,8939,2.0
8941,8940,9.0
8941,8941,22.0
8941,8942,3.0
8941,8943,3.0
8941,8946,2.0
8941,8947,1.0
8941,9142,1.0
8941,9143,5.0
8941,9144,2.0
8941,9145,1.0
8941,9146,7.0
8941,9147,3.0
8941,9148,1.0
8941,9149,2.0
8941,9151,1.0
8941,9348,3.0
8941,9349,3.0
8941,9350,10.0
8941,9555,5.0
8941,9556,1.0
8941,9558,14.0
8941,9560,1.0
8941,9561,2.0
8941,9562,1.0
8941,9762,5.0
8941,9765,1.0
8941,9767,2.0
8942,8740,1.0
8942,8944,1.0
8942,8947,2.0
8942,9151,2.0
8942,9152,1.0
8942,9155,1.0
8942,9357,1.0
8942,9560,2.0
8942,9978,1.0
8943,8324,1.0
8943,8534,2.0
8943,8739,1.0
8943,8740,6.0
8943,8741,2.0
8943,8743,1.0
8943,8941,4.0
8943,8942,2.0
8943,8946,2.0
8943,8947,1.0
8943,9146,1.0
8943,9147,1.0
8943,9148,1.0
8943,9149,1.0
8943,9152,1.0
8943,9155,1.0
8943,9560,2.0
8943,9561,1.0
8943,9562,1.0
8943,9765,2.0
8943,9766,2.0
8943,9770,1.0
8943,9976,1.0
8944,8328,1.0
8944,8534,4.0
